Tweets,OFF
بايع الكليجا انهبلو العالم تراه عادي مايحتاج ضجه ونشر وازعاج وهاشتاق اللي عجبها تروح تقوله عاجبني وانتهينا بلاش نشر وخرابيط لازم كلنا نعرف عجبك وكمان عالم الخيله مصيبه ماحد يفكر طفشتونا شوي هاشاتاق مبزره,1
يبيع يترزق الله وانتن كرهتنهه بالبيعه كلها قله ادب وحياء بايع الكليجا,1
مستعد اتحمل عميل غثيث السربوت المبتعث,1
هاشم شيماء الصباح,0
ماعاد حياء,0
قرف شوفوا سعبيلها المقطع,1
اليس لديك شخصيه وحده النك سودانيه وافتخر وعلم الامارات وصوره سلمان يلعن التناقض اللي فيج وتكلم قطر سدي بوزج وايد ابرك,1
بايع الكليجا لاااا لاا اوفر والله فشلتونا وخلو الولد بحاله,1
اوكي ادري انك تقدر تعيش بدوني سليم,0
ترحيل وسحب كفيلهم انت ياي حافي تسترزا احترم مكان رزاك فاكر بالغيط,1
فضحتونا الله يفضحكم شيخ خفيفات كانكم ماعمركم شفتو ولد مزيون اوفر اللي جالس يصير تفووو عليكم يالمخفات هالعقليات المريضه ماتمثل السعوديات كلهم فعلا مشفوحااات وتفو اللي جالس ينشر اخبار ويبي يرجع سوقهم بالمشاهدات بايع الكليجا,1
والله الرخص فيكم ماعاد تدرون تسوون يارخيصات بايع الكليجا,1
عادل يبدو الخساره الاتحاد مشكله الديك يبيض اعلامي كبير اله بزدك غبن وقهر,1
فيك وببرنامجك مارسيل غانم كلب سعودي تفه حدا بهاجم السعوديه متل هاجم ضيفك روؤساء لبنان لكنت طردته الاستديو كلب متلك سعودي بتاخد كلامه بابتسامه كانه حكا تفه,1
والمطلوب هالفلم الهندي,0
شادق فمه عشتن تطلع غمازه وللاسف طلعت حفريات,0
ضغطي,0
التايم ينرفز ويرفع الضغط,0
ودي اترك الدخان المشكله ادخن,0
كانوا يسرقون القاب اللحين صاروا يسرقون حركات منهم امان الاسود الخضر,1
راحووووا اصدقا الوناسه وينهم,0
انا تعبان جسديا الله انا اللي روحي حلوه,0
شالملحجه,1
احترمي نفسك,1
مصطلحات غالي متوتر لدرجه لايستطيع الجلوس نمله بنطلونه الابط وهذي تستخدم للتعبير النتانه والقذاره متورط للغايه قوله المصريين حبل المشنقه لاف رقبته,1
,0
ماني فاهمه مدي وقاحه الاشخاص لدرجه توصل تقول لدكتوره اللي مكتوب المحاضره غلط تجي ترد الدكتوره تخرج وتطنشها يعني انتي دوبك مافقستي البيضه تنافخين ليه,1
يابعد عمري القوطي لسان وطويل,1
يارب ياحبيبي انك تهديهم تاخذهم لعندك ويارب الثانيه,1
بايع الكليجا الاسوا المراهقات بالهاشتاق الخرفان حاطين صورهم ويتميلحون يعني اني احلي,1
هههههههه ضيعت مني البت,0
الله ياخذهم جاكسون بكبره حبه بركه للفن اجمع,1
اعاهدك باللي خلقنا الطين تبقي بقلبي لين تفني حياتي ورجعنا غيبه,0
انا توقعته يبيع عليهم,0
العمي مثقفه منك عبصل,1
عبدالعزيز وجعععع صراحه,0
حسبي الله ياسين حمزه بلوتو هتان باهبري رباط ساتر مكسبنا هالموسم وكم لاعب هتان باهبري الشباب,1
اخوووه والله تدري عندك مكان هذي علومك كفايه انك عسكري زبال,1
انت صنفتو بخانه الخيانه وهيدا ردك ومش الادويه فعاله شاء الله الكل بيفتخر بشهاده الحريري,1
فيك باللقاء تبعكن الاوباش قطاع الطرق دعوت شيخ عقل الاقطاع الارسلاني تدخل بشؤون طائفه الم,1
اصدقا الوناسه وينهم والله كلهم نفسيات حتي بالسناب مراقبات,0
ايه طعم نايتي سيد امك,1
بالضبط الرجال ماغلط اكلمهم بمنطقهم هاللي متجمعين اقولهم موب الزود الشفاحه عافنا الله واياكم,0
وانتم ليه ماتردوا علينا لنا الشهر ننتظر,0
سحب مونديال قطر تحلمون اللي تفكرون التميمي مالها دارك باذن الله,0
حمار كول هوا وسد بوزك احسن اخلعلك نيعك هزء زباله,1
ساره الاميري شموس العامري المعاناه عندي تشبع خلاص,0
المعيار والمقياس للحكم الله رسول الله مجلس الامن والامم المتحده,0
روح كول هوا تتكلم صدام احترام لسيدك وتاج راسك ابن المتعه غضب الله,1
نسيت امسي عليكم تدرون شلون منتو كفو,0
صدقت والله الناس ينتظرون التعليق والحريم ينتظرونها تنجلي عشان يبدون حمله التنظيف,0
المقطع مسحوب كاميرات مراقبه اهديه لكل شخص يامن لزوجته بنته اخته تعمل محل مختلط هكذا تقدم بنات البلد لقمه سائغه للاجانب بلد حباه الله بالنعم حسبنا الله ونعم الوكيل لابد محاسبه الحيوان محاسبه عسيره الشرطه,1
مدافع يشوفه وصدق مافي جهل وقله حياء بالبنات الرجال وبدون صيغه التعميم طبعن والله يستر علينا التخلف جالس يصير,1
ليش تحولين النقاش طعن وسب بلاعراض وسب الوالدين مراح اسب امك اهلك لان اعرف مالهم دخل جهلك وقله ادبك الصنان تعلمي النقاش وتركي الفتنه الطائفيه لقد امتلئ القاع انتي مريضه الصنان,1
انا بعملك فولو مبترجعش الباك ليه شغالين اهاليكو احنا فضايحك المطبخ,1
غيري يسطا ينفع,0
مين يتمني يجي مكانه عمه سكس كلب نيك طيز سالب ديوث خنيث خضوع,1
مردم كراش دارن كراش داريم اين سليقش,0
للاسف استاذي نزع الحياء المراه الدنيا السلام,0
بلوك ثلاثتكم ازعجتوني,0
الحاجه اللي لمه كتير معروف ببلاش,0
ياتسبدددديه,0
لازم تتزوج اجنبيه تتاكد بتحبك عنجد طمعانه بالجنسيه الاردنيه الاحتياط واجب,0
شاء الله,0
امن العقوبه اساء الادب وين رجال الامن مايجري التدخل المتحرش رجل المفروض بزماننا المراه تتعاقب التجاوزات الرجل استحي وهم صياح وضحك ومغازل,1
الملهوطه هههههههه ياخوفي لانسيت عمري وانا اتابع اصير,1
الله يقويكم ياكثرهم ماعليك,0
وئام الدروز نسكت ننسا انتا لستا منا تمثلنا تستقوي بحزب الشيطن مزبله التاريخ حقير,1
برب بروح لسجني الخاص,0
المسلسل عندي نيه اتابعه الطفش قلت يلا اشوفه دوبني خلصت حلقات مره يهبل الومه دعس ارطغرل بالريت فيدات كرهتو زياده مستفز مصطفي واسيا زينهم عالم مشاهدهم تضحكني,0
شنو معني تكالب كانها يايه كلب جهاز قضايا الدوله نشر قرار رفع البنزين لمنع تكالب المواطنين المحطات,1
الحمد لله والشكر خلصت الاخبار,0
الطريق زحمه فشخ احا بملء,1
دخلك اسيادك قتلو الشهيد وسام الحسن دخلك كنتو تسبو طالع نازل خراس منافق زلمتك برقبتك,1
احنا رئيسنا يلبس عايزه والي عنده مرشد منقلب يلمه والسلام عليكم ورحمه الله وبركاته,1
محل عصير القصب بقا كاميراات تقولشي هنسرق الزعزوعه ونجري,0
ساعتين,0
انا بنت اشهد معكم بذا الهاشتاق البنات خرفانننن,1
حشيش ايه استغفر الله العظيم بعدين انا مالي مال الزمالك تكسم الزمالك برحتك,1
بالضبط يبن موزه كلمات هتلر وكانه يقصد طميم الذل موطنه وشعبه مذله اقدام المجوووس والاتراك المحتليين لارضه وتحكم عزمي بشاره ومفتيكم القرضاوي,1
تتحدث السعوديه وتزعم تطبع الكيان الصهيوني وبنفس نظرت شباك منزلك الدوحه لرايت الاسرائيليين يلعبون كوره ملاعب اسيادك وبحضور اميركم النائم العسل فاذهب والتقط اللقمه يرمونها تغريده تقلب الحقائق,1
الحمدلله عافاني مماابتلاء البنات مااحلاني وانا واقفه جناحه واصوره بايع الكليجا,0
تخيل انك يادوب مولود سنه كامله ماقادر تتحرك عندك شغله قاعد تعاين السقف والله ملل ويجيك سخيف يقوليك اغوغوغو اغوغو حبوبتك,0
اوفر اللي قاعد يصير حياتك,0
اكره الحياه تطلع بيتكم متسبح ومتعطر ومتزقرت وتدخل بوفيه وفوق العامل قاعد يقلي فلافل خلاص الحين يخلص ابي ارمي الثوب احسني صره فلافله,0
مرجع كبير ههههه تلحس احمرك,1
باتلكلها,0
مامي,0
شاء اله باذن اله بالتوفيق التعاون الطواقي باذن اله,1
لهلق ندمانه ليش سكرت حسابي القديم بتويتر,0
خلده بيتضمن جعارين مرتدين فهم اخلاق عملاء تابعين للجزمه السوريه عيني انت حليفك,1
افف الاختبارات اشوي اختيار,0
الحمدلله اني اقه,0
انت منافق وفار العداله,1
الله لايبلانا العقل نعمه والحياء زينه,0
بايع الكليجا ييييييييع يخرع,1
يمه البنت,0
يلعن روحك حافظ ويلعن روحك بشار,1
والله الحرررررره طلع يهايط وجه الضفدع ماشاءالله الرجال يجنن,0
انا صايره تلوع كبدي بسرعه هالمقاطع ماعاد صرت اتحمل,0
بايع الكليجا اللي طايحات عنده يامبزره الثانويه اربعينيه متصابيه,1
ياخذوون صور محمد البشيري ويقولون كليجه,0
توني مفطره ليش اطيح,0
سيقطعن ايديهن وارجلهن خلاف بايع الكليجا,1
ولوا طبقنا المثال نجد المقام اعتذر التاخير وجت هالمساله وتذكرتها وطبقتها المثال الخطا الرياضي القسمه الاخيره المسالتين,0
الله يهديك توني بتغدا انسدت نفسي الغدا وعن الحياه,0
اللي يشوف كلام هيلاري يحط بفم ينكر وجود مؤامرات دولتنا والدول المجاوره وما تنتهي مؤامره دسته مؤامرات جاهزه ضدنا طبعا اذنابهم بيننا تعتبرهم الاستثمار الحقيقي المدي البعيد الاعتراف الحقيقي بخلق داعش ومساعده الاخونج عليهم اللعنه جميعا,1
افهم مقصدي الخوه دمعه ونوح خوه الضحكه الجذب تاليها مصطفي العيساوي,0
هيه اشوفج مستحيه,0
المفروض ماسكه بريده,0
بايع الكليجا يحق تصورنيه وتضايقنه بمكان رزقه مكان شوضعكم وانتم تصورونه ترا الفله بقله الادب والوقاحه انتي,1
وماذا تتوقعون ممن هرب بعبائه امراءه وسلم مدنه ومخازن اسلحته للحوثي تحته جندي احمر,1
مصبح بوجه رؤي ابرك هالهنديه,1
فدا,0
باك,0
والله كنت متفاعله معكم سنتين ماشفتت نتيجه,0
يويلي حتي السواق المخفات ذولا تقول شايفين خير ومشافيح والله يفشلون وربي السواق سواق استحي وهج منهم الله لايجعلني زيهم والله انحرني وربي,1
بيحصل برجعله اقوله اصل السلام واجب بيقولي مسمعتش بقيت اعلي صوتي بردو مبيردوش,0
مالتبن غيرك وانت جاي مرحاض يالله اذلف,1
بايع الكليجا ترند لرجل عادي خير يابنات تحسون بوه صاير فيكم تشوفون قرد بتخقون ارتقو شوي واثقلو تري جاي يترزق الله عيب وشق جيب يالي تسرخوووون,1
اهو ينفع كدااا باقه تخلص كدااا كوسوم,1
طبعا مجرد بداعبه والسلام الله والناس ممكن ترد بقلبها شرط تكتب والدعوه ضحك ووناسه ولكم احترام طبعا,0
اللي شايفه نفسها محور الكون,0
هههههههههههههههههه والله ماودي اضحك ياجهيمان فعلكم,0
الجو كئيب احنا بقينا نكديين,1
البنات امباع,1
الكلب نوعيتو غاليه كثير كثير اغلي صاحبو,1
العيوزه والكلاس بعده مابدا,0
انا برا نجران الهبلا,1
تستهبل انت مسوي ماتعرف الخاص تقفله,1
امبلا,0
وتسع وتسعون طعنه,0
انت خراس,1
يتويتر,0
بالهياط موزه عميله الفرس والصوفيه الخونجي,1
ايه وليه فيش الخير وين الفطار,1
بايع الكليجا الله يفشلكم تراه انسان طبيعي حالنا حاله بذي التصرفات بتزعجونه خلي عندكن شوي حيا يامشفوحات ماعندكم حياه انتم,1
مزيون امحق زين,1
بايع الكليجا طيب الحين هالبنات اللي ماعندهن حياء ولاعندهن خوف الله مايفكرن شايب انحي ظهره وشاب راسه عشانهن سمعه اخوانهن,1
لجهنم,1
صوتهاا,0
ولعنه تلعنك تتكلم السعوديه والسعوديين وتسوي فتنه انفلو,1
مغربي معفن اسمه الاتفاق الاتفاف وبعدين دورينا ناقص عفن,1
ردوا الرجال,0
ليش يخدمون الاجانب المفروض يخدمون المواطنين لسان حال البعض عنصريه حتي العمل الانساني وبعضهم مثقفين للاسف,0
يعني ايهاب جلال ابن النعجه مصدع ميتين اهالينا بالهجوم وبالخرا وجاي تعملي مورينيو دلوقتي,1
يااارب اعني علئ هالوالد,0
ماش مالقيت افتار يعجبني,0
بايع الكليجا بنات عيب عليكم استحوا شوي خلوا عندكم ذره احترام للي ربوكم تسوون وتصورونه وتتغزلون عيب عييييييييب ماقول الله يهديكم,1
مووووو طبيعي ايش غبار الجو كانو ليل وغيوم وهوا حاجه مخيفه تكتم,0
بلدي الذكرور نايمين والبنات والامهات بيصحوا يجيبوا العيش الامهات بيربوا ولادهم استغلال ستاتهم الدلع والمرقعه يبقي ماشي جمب اخته تشيل الطلبات ماشي فارد دراعه جيبه الله يرحمك رجوله,1
بايع الكليجا فضحتونا الله يفضحكم قله الحيا مزيون طيب ليه التلزق تحسون قله تربيه والحيا,1
ايوا عاوز,0
اناا اذااا جفتتتت الناااسس,0
والله صادقه ياروني الانفتاح بنظرهم والله يستر اللي جاي,0
ايمتي بدنا نخلص صور الورود العصافير بيبعتولنا ياها صبح واتس صباحو,0
اجحش منك عامل,1
فعلا مفيش توازن وال انكم انتو الاتنين حيوانات جاتكو وكسه,1
بايع الكليجا ماعاد الله يعينه هالاشكال,1
مشكله والله تروحين دكتورتك ومعك صديقتك وتخليها شاهده وتقلب صديقتك تهديد خلاص يعني شاهده هذي يبيلها,0
ايه كول هوا,1
ترا طفشتونا بالشين محسسيني اجمل رجل العالم,0
ماقول الله يرحم الهيئه ماكنا نشوف هالاشكال الرخيصه والله حسيب بدا بنشر الفتنه بايع الكليجا,1
شنوا عظام,0
عفوا ايمتا بعتيلي لينك غنايه انت انت خراس,1
صيغه الخبر تحريضيه وضيعه للاسف العقليات تدير حسابات التوتير نسو اللاعبين اصيبو بالرباط يحتك بهم التواء المفصل تمزق عضلات يدخلون النوايا لايعلمها الله ويتبجحون بالزور لشئ سوي,1
يليت دخلت عليهم خيزرانه,0
وضعك مزرررري,1
الناس اتغير تويتر يامود انت بتكلمهم بنيه سليمه وبعدين يطلعوا سليمه خالص نصيحه طنط نور بلاش تامن لاي سليمه بقت,0
حايمه كبدي مكتبي اللي نفسيات مره ومودهم دايم ابوكلب,1
قله ادب بالعالم يشتهر شخص يجيبون صوره قديمه واستلم يهيه تراه ادمي سراميكه ينقال خشتك ثابته ماتغيرت ولدت,1
ترامب دفع لنجمه افلام اباحيه تردد اقامت علاقات جنسيه ترامب توليه منصبه بيان نشرته وسائل اعلام امريكيه استخدم امواله الشخصيه لتسهيل الدفع السري فلوس الخليج وسلمانكو البقره الحلوب,1
فاضي طول نهارنا هالك حالك,0
استغفر الله,0
شكله بيموت بسببكم,0
يومين الجو يخلس واليوم برووود,0
اصعب حاجه الدنيا انك تعيش واقع انت رافضه قادر تغيره,0
بديني بدك فلقه,1
ماشاء الله التربيه,1
اخوانا,0
قوم النعال وجوههم شكت النعال باي ذنب صفع,1
فعلا غثوا امنا صاحب الكليجه,1
يااررربببب عدي حياتي الجامعيه يسر وسهاله وغمضه,0
والصحاب صحاب مين ياعم دول بيخافو يعملولي لايكات لاجيب اكتر منهم,0
انتي عره ياللي مبقتش اشوفك زعلانه منك,1
هذي كلها بسب المجنسين والاجانب اللي منشرين الفيروس يخسون ويعقبون اخس عليهم حسيب رقيب هذي الاشكال التافه,1
دام السعودي المتزوج اجنبيه ياخذ ابنائه وزوجته الجنسيه خلاص السعوديه المتزوجه اجنبي باب اولي ياخذ ابنائها وزوجها الجنسيه الحال بعضه,0
ماينفع معكم قولي وحشتك,0
يلعن التخلف اللي بمدرستنا,1
تبي مصلحتك رمه,1
قهرني يبي يستضيف وما تاكد الموضوع طيب تحط صورهم وتقول مين استضيف كلهم بالكويت قاعد يستخف دمه معنا,0
كركوز,1
المطبخ نضيف وعندها ترخيص لان المكان صراحه يهيء اطلب عشان حرمه كبيره خلاص امك ممكن وحده ماتعرفها,0
للباصات النقل الجماعي خاص فيهم شوارع لندن والي يمشي الباصات مخالفه,0
تعودنا خلاص القنوات التافهه نشر اخبار وتفاهات المبزره مسوي حلوو مالقيت هالصجه والهاشتاقات,1
المثل يقول ضربت فاوجع اخذتي زين كانه بوديقارد داليا مبارك,0
افضح معنفك كاتبه بريطانيه تقول ياكل وجبات يعتبر انسان محد حيوان غيرتس عدوه الانسانيه والجائعين معليكم كلو حبايبي,1
والله منافسه بينه سليطين افضل نعال حمود زايد وحمود سلمان المهم استمرو يانعل وعقبال متنحذفون ماتنتهي صلاحيتكم,1
ماابي احلف واثق تماما وجودي مسبب لاغلبكم سعاده كلامي اكيد,0
بايع الكليجا الله يرزقه فضله وانتن ياقليلات الادب الله يشفيكن لهالدرجه ارخصتن انفسكن ارتقن شوي,1
صلاه الجنازه القادمه انت الناس تقول الخير ذكرتني بموقف اللي يشرحون التكفين العيد,0
الرجال متلثم ريحه الحريم طلعت,1
سعاوده,0
بقي علشان انا فعلا عندي حاجات ورمت فقاقه امك فنطاس النباه عزبه المفهوميه بجم يابن البجم يالوح يابن الوح هوا صادر لشوال بتاعك قرار تعين علشان يستقيل قالولو ريس شرفي وبعدين قالولو روح لامك انتصارات متاليه ياهلي,1
ياص الخير والله,0
طالب كليه مرموقه بيصحي نومه الصبح علشان يكتب اسمه الغياب علشان يستفيد مصر فيهاا ايه,0
الله,0
بعدني فالبيت اوصل بقولش,0
ذوقك ضارب,0
بايع الكليجا شكل الشباب والبنات وهم يبررون فعل الفاسدات البايع والله مقرف ويجيب سالفه بنت ترامب اساس فعل راضين ماكنه طلع هاشتاق يمنعون اللحوج الدشير بالتغزل الفاحش الفاحشات الرجال,1
طيب وخري قدامي بقوم اشوف اكله جوعتيني,0
فتشي نفسك ونظفيها وصدقيني بعدها بتعرفين ليش الناس هاجمتك ليش تقولين تجربه اللي حولي ليش تجربتك نفسك خليك صريحه اسكتي,0
يخسون نجي بلادهم,0
كول هوا انت ودانيال,1
الجلبريك اختيارك لثيم,0
الهه الكفار,1
العاهرات اشرف طبل الجاهليه,1
اختراع السوشيال ميديا محد يعرف انك اهبل امك والحين كلنا نعرف,1
اساس ابلشتونا بام غمزه وحده بوحده,0
اللي حولك ريحهم صنان الاقل انصحيهم بالنظافه والروايح الحلوه,1
اتوقع موضوع مهم شدراني واضح الجديه بحوار,0
خراء عقله المخصي,1
بنت الفراش ومنقهره وعشان نطيتي منشني وتقولين انقلعي ههههههههههههههههههههههههههههههههه الخلا منااك متخلفه,1
البنات اللي يتغزلون بايع الكليجا مثلهم الاولاد اللي يتغزل بنت ترمب كلهم خمه متجمعه وتربيتهم تربيه شوارع فشلتونا الله يفشلكم,1
ييااع,0
الشبابيين جلدوا الاهلي فالقانون وفالملعب وفالمدرج وتركوا لعبه المكتب القذره,1
ياستر الفم والخ طالع,0
مدافع يشوفه وصدق مافي جهل وقله حياء بالبنات الرجال وبدون صيغه التعميم طبعن والله يستر علينا التخلف جالس يصير,1
خراك يالسعودي مسويلي انك قطري يالهيس,1
جونغجين متحمل ييسونغ انا منننننننن زماااان كفخته هيونغ,1
فيلبي لويس اذكر سويت نفسي بنت بالسناب وقعد يرسل قضيبه ويتميلح عندي لاعب معروف سود الله وجهك,1
الباطن تاج راسك ياوضيع ماباقي انت تنتقص السماوي السماوي بطل كاس الملك,1
منجد انا اتمني يسويها صراحه قله ادب وتخلف تخيلي شفت مطلعين صوره احواله ناقص يجيبون لنا مقاس سرواله عمي,1
جالسه اختبر بموضوع درسته وواحد الطلاب جالس ينقش ورقتي خطيا بورقته عموما متاكده اختبار الاعاده بيقعد بابعد كرسي عني,0
انتي ماقلتي بهالمناسبه,0
بصحي بكن الساعه الصبح,0
محمد موسي لاعب نادي دحيل الحين اقولك ادفش بغداد بونجاح ورانا اسيويه ونبيه,0
ليش,0
ايه العسل,0
انا طلال مداح احبك تحب غيري انا ادفن والله,0
وغالبا بيعمل كده بيبقي ماليجنانت فالشفوي بيفشخ ونفس حوار رءيس القسم رءيس القسم انت طيب اوي رءيس القسم,1
يبي سحل رفع ضغطي,0
شبعنا الدود,0
قله حيا قسما بالله,1
انتظار اجابه عمو جوجل,0
والمشكله انهم يعرفون روحهم ويدرون الكل بيطلع هالشرح يقول الحضور ناخذه عقب مانخلص لييييييش ليييييش تعبنا القعده الفاضيه,0
بايع الكليجا مدري وين الجمال دنياا حظوظ,0
هذي قله ذوق الناس البوفيهات هذي حركتهم تمشي وتذوق بالملعقه مقززه,1
انفاسي انا تحرء لهيب النار احساسي الماكد,0
تفكيرك عباره كومه وتتكلم الشرف شوف حسابك مسوي فلو ياوسخ,1
هههههه شال روحك فيدك,0
اقسسسسم بالله مصصصضخره,0
تحيه لعقليتها ناس بقرر مايفهمون البقره ارسلك تشوفها ولاترد ليه انا كنت مشغول البقره مشغول انا ياخي فارق ازعل امزع براسك فالجدار ماتفهم انت مشغول مشغول يعني بشوف رسالتك وارد شوي عناالله ابوهالوجه,1
ثقاله الدم تطلع نشبه,1
شيء يغث تحس فاضين لاشغل مشغله,1
بكيفي عندج مانع,0
بايع الكليجا استغرب حثاله البنات جيت الرياض يومين وشفت العجب التصوير سيلفي اعمم حثاله الجنسين,1
عقل غلا عزم لاوقت زين ناس طيبه صباااح الورد,1
التم التيس العنز,1
الهلال قرود اسيا يقول الشاعر وصح لسانه وقصيده جزله قرود اسيا القرد قرد سيدني,0
حسبي الله فشلتوووونا حسستوني ماعمركم شفتو حلوو مسخره والله ماعاد حيا الرجال استحي وانت وقحات حطو نفسكم مكان حرمتوو تافهات بايع الكليجا,1
ااهه,0
عملاء الصهاينه العسكر الجدد الخسيسي يستعمل مطارات العدو الصهيوني لقتل ابناء شعبه عجز الصهاينه وهروبهم ساحات القتال شجع الخونه قتل شعوبهم بالنيابه عنهم,1
يسوي الجوال عندك,0
تمام حمد لله شخبارك يالمختفي مدري القاطع الله زمااااان,0
ليتنا منكم سالمين تتوقعون والله يبطل توقعاتكم خلونا برحمه ربي احسن,0
كمبياله بسمعها بالافلام المصري لاتكتبوا افهمو بعدين ازعل وياويلكم زعلت,0
قالت اثبت انك تحبني فصل جواله الشاحن وحط جوالها الحب الحقيقي الحب ماشحن,0
يارب سهل تعسسر,0
انا اكتشفت اللواء عثمان داعس رقبتك وراسك بصباطو الرسمي حمااااااار,1
بتمنا ربنا وانا قاعد كده عارف اتحرق حبيبي يدخل يقعد معايا براحتنه ابص عنيه براحتي امسك ايده جامد وبصوت عالي اقوله بحبككك,0
قاطعوا قناه الجديد شربل خليل انت المركوب الماجور,1
وانااا اسيب بيت ابووويا الل بااكل ببلاش وبلبس ببلاش واللي يكلمني بضربه وبصحي براحتي وبنااام براحتي,0
انتي بتقولي بتضحكي عادي القرف,1
فشلتونا بايع الكليجا,0
مره عندي امتحان ماث اتوتر الموضوع مخوفني,0
يعرف ايش طبيعه اسئله الخدمه المدنيه بخصوص وظيفه وزير عندي مقابله وخايفف,0
ايش القرف,1
تجلس زبي وتجلخ بزبك وتمحن بكل مقحبهه انزل بخرقكك واغرقه بحليبي,1
هذي المفروض يسمونها فرحه دبش فرحه وطن القانون مطنش هالسلوكيات اللاخلاقيه,0
هههههه احسن وجهك,1
يشكر ليش دمر النادي,0
رقم جديد بالانستا الحمددلله وينكم وجييه السعد مهي عادتكم نبي للمقطع وحده تمنشن تقدر الله يسعدكم سنابات سعد الكلثم,0
حاسه اني ساكنه الشارع طالع والي نازل يزق باب الشقه ويدخل ومش فاهمه انا عايشه فين,0
للمره الثانبه احمل الفيلم يتم العمليه يقول فشل,0
وين الرجاجيل قبيلتي نشوفهم,0
التنين الخريه,1
يقولها انتي الوحيده بقلبي قلبه باب المول ماتجي بنت يفتح لحاله,0
الله بيعين كلها ساعات وتنتهي ازمه التنظيف المشكله لاردت علينا موجه ثانيه هذالتعب,0
الله يرزقنا,0
تنقرض عيناتك,1
مدري بتفائل بيوم الاثنين وبدايته حنان,0
جماعه هيكك انزل بوست تقعدوو تبوسوو بالشاشه اتحكموو مشاعركم,0
منظر حضاري طبعا ليبرالي مانجيك باب الدين والايات نكلمك بعقليتك الم لوثه الله يجعل بناتك عجبون بالرجال قدام عينك نقيسها نظرتك لبنات الناس فعادي ماتفرق معك اعجاب نسائك بالرجال استغفر الله واتوب الله ياخذك بايع الكليجا,1
اكيد صعبه وبعدين حنا فاشلين بالتيفو,0
صرت اكرره العربي,0
معاهم,0
الزهراني حفيد بني صهيون لادين مذهب عاش عبد وبيموت عبد ابن عبد مدعوس الراس والكرامه,1
تغريداتك الاسبوعين الاخيرين انت الاموال عندك اهم فلسطين انت رائع,1
تحصل افضل مادمت تفكر بالامس,0
اسبوعين والسيستم عطلان عشان اطل رخصه السائق,0
بغل الوطن منحبك القياده الحكيمه,1
مفيش حاجه بتيجي بسهوله لازم تتعب كده متجيش بردو,0
رجعت حليمه لعادتها القديمه ايش ريدوت الحمدالله المقطع موثق فكني الاغبياء واسالتهم,1
اللي ماخذ سيارتي وكسر,0
مشترك خدمه تويتر لامحدود وصار عندي ضعيف النت تويتر وباقي البرامج النت قوي ليش,0
نايس ومعايا تموتي,0
ظاهره المذيع الطنبر بلا مؤاخزه,1
حارقلكم قلبكم لبنان كلاب,1
الله لايوفيقكم,1
وانا قاعد معاهم سنه وكل يعملو ملوحه يتفاجو اني باكلا,0
مهجوره اربع سنه اريد قيودي انا منك اطق اسمه بالكامل وسكنه ومقر عمله اشهار هالشوارب يخافون سمعتهم ومكانتهم اخوياه خوفه بيته,1
